Parameters: V_min=1, V_max=30, V_step=0.25 | R_min=0, R_max=1000, R_step=50 | qT=1, kappa=0.9, R_ext=500, cT=0.18, i0=0, tc=30, lam=0.12, tmax=500, dt=0.0001, (Increasing V_ext)
V_ext,R_ext,spike_count,x_min,x_max,x_f,T'_f,V_f,V'_f
13,50,0,0.610177730878989,0.610826277399087,0.61082622203882,-0.316052112660147,8.04632651735417,25.5486235541876
13.25,50,0,0.610826222064904,0.611464606697184,0.611464548191908,-0.331363823834498,8.21767500029098,26.0068613954394
13.5,50,0,0.611464548217988,0.612093167078992,0.612093105403501,-0.347075176591023,8.38937019195895,26.4640636312217
13.75,50,0,0.612093105429578,0.612712331682465,0.612712266817486,-0.363187898140385,8.56140738195562,26.9202375147155
14,50,0,0.61271226684356,0.61332245244818,0.613322384380179,-0.379703673083414,8.73378202079596,27.3753900821503
14.25,50,0,0.613322384406249,0.613923861704656,0.613923790425626,-0.396624144804656,8.90648971163509,27.8295281629071
14.5,50,0,0.613923790451692,0.614516873607643,0.614516799114884,-0.41395091679193,9.07952620254587,28.2826583889849
14.75,50,0,0.614516799140947,0.615101785449272,0.615101707745168,-0.431685553887163,9.2528873793062,28.7347872038822
15,50,0,0.615101707771228,0.615678878850986,0.615678797942778,-0.449829583473232,9.42656925865515,29.1859208709386
15.25,50,0,0.615678797968835,0.616248420852442,0.616248336751995,-0.468384496601166,9.60056798198063,29.6360654811783
15.5,50,0,0.616248336778047,0.616810664907109,0.616810577630676,-0.487351749061732,9.7748798094052,30.0852269606937
15.75,50,0,0.616810577656726,0.617365851794018,0.61736576136202,-0.506732762405344,9.94950111423915,30.5334110776022
16,50,0,0.617365761388066,0.61791421045404,0.617914116890825,-0.52652892491179,10.1244283777731,30.9806234486089
16.25,50,0,0.617914116916867,0.618455958758054,0.618455862091677,-0.546741592517618,10.2996581843849,31.4268695452013
16.5,50,0,0.618455862117716,0.618991304213599,0.6189912044756,-0.567372089697689,10.4751872169375,31.8721546995038
16.75,50,0,0.618991204501635,0.619520444615832,0.619520341841087,-0.588421710325362,10.6510122524488,32.3164841094706
17,50,0,0.619520341867119,0.620043568647985,0.620043462874276,-0.609891718409733,10.8271301580006,32.7598628455035
17.25,50,0,0.620043462900304,0.620560856435983,0.620560747704009,-0.631783348967122,11.0035378869033,33.2022958533535
17.5,50,0,0.620560747730034,0.621072480061349,0.62107236841445,-0.654097808690216,11.1802324750542,33.6437879602042
17.75,50,0,0.621072368440472,0.62157860403612,0.621578489520084,-0.676836276670205,11.3572110375087,34.0843438787949
18,50,0,0.621578489546102,0.622079385743122,0.622079268405994,-0.69999990507257,11.5344707652375,34.5239682116626
18.25,50,0,0.622079268432008,0.622574975844579,0.62257485573648,-0.723589819785039,11.7120089220583,34.9626654551726
18.5,50,0,0.622574855762491,0.623065518661783,0.623065395834732,-0.747607121039222,11.8898228417319,35.4004400033505
18.75,50,0,0.623065395860739,0.623551152528227,0.623551027035971,-0.7720528840074,12.0679099252113,35.8372961515298
19,50,0,0.623551027061975,0.624032010118421,0.62403188201628,-0.796928159375798,12.2462676380328,36.2732380998233
19.25,50,0,0.62403188204228,0.624508218754385,0.624508088099088,-0.822233973895612,12.4248935078425,36.7082699564315
19.5,50,0,0.624508088125085,0.62497990069159,0.62497976754113,-0.847971330912946,12.6037851220472,37.1423957407959
19.75,50,0,0.624979767567123,0.625447173386006,0.625447037799499,-0.874141210878766,12.7829401255833,37.5756193866077
20,50,0,0.625447037825489,0.625910149743736,0.625910011781285,-0.900744571839905,12.9623562187964,38.0079447446779
20.25,50,0,0.625910011807272,0.626368938354577,0.626368798077142,-0.927782349912055,13.1420311554242,38.4393755856797
20.5,50,0,0.626368798103125,0.626823643710739,0.626823501180015,-0.955255459735688,13.321962740677,38.8699156027677
20.75,50,0,0.626823501205995,0.62727436641185,0.627274221690151,-0.983164794915687,13.5021488294102,39.2995684140824
21,50,0,0.627274221716127,0.627721203357255,0.627721056507405,-1.01151122844619,13.6825873243826,39.728337565145
21.25,50,0,0.627721056533378,0.628164247926563,0.628164099011783,-1.04029561311753,13.8632761745959,40.1562265311505
