asdlfkjh
V_ext,R_ext,x_min,x_max,x_f,T'_f,V_f,V'_f
170.261277402132,0,-0.950010461101049,-0.702105771783542,-0.724919862408562,105.466920556735,170.241695729701,0
187.155146084363,0,-0.948994542527687,-0.720077179632716,-0.945115252098325,117.748508990504,187.133621455747,0
205.725278467931,0,-0.947864031876879,-0.738125217128937,-0.93236636719893,130.070161481096,205.701618096793,0
226.137998800364,0,-0.946543159205873,-0.756848864651531,-0.84271917982286,144.200894756563,226.111990771503,0
248.576134553174,0,-0.94499139110078,-0.77625809915216,-0.899778368265986,157.750124207842,248.547545924478,0
273.240653924537,0,-0.943161972916363,-0.796056009367331,-0.854810497834835,173.217467856627,273.20922864064,0
300.352465820236,0,-0.9408752613059,-0.816918348259583,-0.915698098339259,189.631161870867,300.317922419127,0
330.154398434467,0,-0.937932078356929,-0.838609108629229,-0.907554440280155,208.21531802547,330.116427526563,0
362.913374151767,0,-0.933589448056456,-0.862446888727633,-0.924038490558979,227.352181550878,362.871635648905,0
398.922800249662,0,-0.924962754290328,-0.89102353722837,-0.919092362599263,250.177491725739,398.876920319017,0
438.505196814491,0,-0.9299973517828,-0.918257730892529,-0.930382490968133,275.143789361503,438.454764530328,0
482.01508540744,0,-0.941247148422749,-0.929620520664712,-0.941629987811873,302.70909259683,481.959649070714,0
529.842164353257,0,-0.9523758925613,-0.941027730284782,-0.952752242497824,333.383771603932,529.781227445825,0
582.414799091289,0,-0.963184034166476,-0.952344600860337,-0.963544138507667,368.178984430283,582.347815828928,0
640.203858850293,0,-0.973273668570719,-0.963220366451369,-0.973600898144546,409.104249635208,640.130229294325,0
703.726934010416,0,-0.982139107252387,-0.973363741399191,-0.982418328532748,459.297610385683,703.645998694348,0
773.552971925318,0,-0.989522678007097,-0.982262471831231,-0.989752335453361,522.063172810926,773.464005948248,0
850.307372725393,0,-0.995571284545686,-0.989653727610496,-0.995760702339157,599.997758083186,850.209579259417,0
934.67759074289,0,-1.00060666878617,-0.995696954142518,-1.00076673769842,695.350561056676,934.570093896335,0
1027.41929172837,0,-1.00491911061512,-1.00072378714899,-1.00505828299929,810.669546757482,1027.30112870077,0
1129.36312100586,0,-1.00871731397508,-1.00502816485196,-1.00884143193508,949.126031688186,1129.23323346464,0
1241.42214318602,0,-1.759939171564,1.00847023699752,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1364.60002007146,0,100.0,-100.0,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1500.0,0,100.0,-100.0,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1648.8347991393,0,100.0,-100.0,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1e-05,10,-0.956436365946305,-0.956436365886996,-0.956436365884929,1.12055409060424e-13,9.93134489791765e-06,-5.68065113755035e-07
1.0992231994262e-05,10,-0.956436365884929,-0.956436361043479,-0.956436360874652,1.35366573391599e-13,1.09155832088993e-05,-6.23915310078521e-07
1.20829164215677e-05,10,-0.956436360874652,-0.956436355547007,-0.95643635536123,1.63562269662999e-13,1.19986608588017e-05,-6.85821037049744e-07
1.32818220473149e-05,10,-0.95643635536123,-0.956436349504952,-0.956436349300738,1.97630933065768e-13,1.31892063717312e-05,-7.53870430004458e-07
1.45996869250589e-05,10,-0.956436349300738,-0.956436342863381,-0.9564363426389,2.38795817547023e-13,1.44978816203086e-05,-8.28671911361036e-07
