Parameters: V_min=100, V_max=1000, V_step=10 | R_min=200, R_max=1500, R_step=50 | qT=1, kappa=0.9, R_ext=500, cT=0.18, i0=0, tc=30, lam=0.12, tmax=600, dt=5e-05, (Increasing V_ext)
V_ext,R_ext,burst_freq,avg_ibi,intra_burst_freq,x_min,x_max,x_f,T'_f,V_f,V'_f
510,200,0,0,0,1.01446872597182,1.01472630302236,1.01473264080582,-132.021618305476,470.029023354019,306.985578544609
520,200,0,0,0,1.01473264098093,1.01498588523443,1.01499211584212,-137.050325354092,479.326421665153,312.4345992698
530,200,0,0,0,1.01499211601746,1.01524118582499,1.01524731320806,-142.168566805854,488.625430411544,317.872091993298
540,200,0,0,0,1.01524731338375,1.01549235824778,1.01549838613691,-147.376169977543,497.9260213129,323.298255060624
550,200,0,0,0,1.01549838631308,1.0157395475444,1.01574547946603,-152.672965047824,507.228167068262,328.713280012152
560,200,0,0,0,1.01574547964281,1.01598289095718,1.0159887302479,-158.058784953817,516.531841289062,334.117351929026
570,200,0,0,0,1.01598873042542,1.01622251848692,1.01622826830814,-163.533465338681,525.837018514495,339.510649794793
580,200,0,0,0,1.01622826848654,1.01645855340129,1.01646421675029,-169.096844411354,535.143674072645,344.893346754052
590,200,0,0,0,1.0164642169297,1.01669111269907,1.01669669242063,-174.748762902332,544.451784102078,350.265610431153
600,200,0,0,0,1.01669669260121,1.01692030753479,1.0169258063315,-180.489063977497,553.761325497433,355.627603189737
610,200,0,0,0,1.01692580651338,1.01714624360779,1.0171516640494,-186.317593164649,563.072275873256,360.979482383057
620,200,0,0,0,1.01715166423274,1.01736902151913,1.01737436605127,-192.234198283432,572.384613530147,366.321400588375
630,200,0,0,0,1.01737436623621,1.01758873709965,1.01759400805174,-198.238729378403,581.698317423029,371.653505826715
640,200,0,0,0,1.01759400823844,1.01783045255578,1.01785017545203,-204.331308106287,591.01327975154,376.976558470321
650,200,0,0,0,1.01785017564031,1.01849715413274,1.01851036498754,-210.561998032952,600.313409441929,382.40415399135
660,200,0,0,0,1.01851036517137,1.01898918374356,1.01899953555187,-216.930984827188,609.599355232827,387.931791872568
670,200,0,0,0,1.01899953573003,1.01939171035655,1.01940040278971,-223.41686497899,618.87842268718,393.507940619445
680,200,0,0,0,1.01940040296162,1.019738014476,1.01974560247791,-230.011429716603,628.153435352977,399.112682788746
690,200,0,0,0,1.01974560264325,1.02004517172368,1.02005196450748,-236.710545533626,637.425819784188,404.735954965756
700,200,0,0,0,1.02005196466605,1.02032330656527,1.02032949672369,-243.511803684883,646.696406549498,410.371897773582
710,200,0,0,0,1.02032949687536,1.02057899513901,1.02058471193733,-250.413663262252,655.965724231715,416.016782081301
